experimentIndex,experimentName,backboneName,hiddenDims,balancedSampling,optimizer,experimentGroup,numEpochs,batchSize,randomSeed,auc,f1,recall,precision,prAuc,accuracy,balancedAccuracy,loss,finalThreshold,epochsCompleted,stoppedEarly,status,runDir,startedAt,finishedAt,durationSeconds,error
1,01_structure_backbone_A_shallow,backbone_A_shallow,128-256-128,True,adamw,network_structure,80,256,42,0.968151,0.80062,0.789206,0.812369,0.886606,0.926845,0.873762,0.415727,0.922864,77,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\01_structure_backbone_A_shallow,2026-04-12 18:39:06,2026-04-12 18:45:47,401.17,
2,02_structure_backbone_B_medium,backbone_B_medium,256-256-256,True,adamw,network_structure,80,256,42,0.968619,0.8,0.798371,0.801636,0.882145,0.925708,0.876598,0.420531,0.93191,67,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\02_structure_backbone_B_medium,2026-04-12 18:45:47,2026-04-12 18:52:50,423.52,
3,03_structure_backbone_C_deep,backbone_C_deep,256-512-512-256-256,True,adamw,network_structure,80,256,42,0.96839,0.800817,0.798371,0.803279,0.884643,0.926087,0.876831,0.429288,0.927387,37,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\03_structure_backbone_C_deep,2026-04-12 18:52:50,2026-04-12 19:01:54,543.94,
4,04_sampling_plain,backbone_C_deep,256-512-512-256-256,False,adamw,balanced_sampling,80,256,42,0.969632,0.802817,0.783605,0.822995,0.888689,0.928362,0.872534,0.357136,0.814322,45,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\04_sampling_plain,2026-04-12 19:01:54,2026-04-12 19:12:51,656.24,
5,05_sampling_balanced,backbone_C_deep,256-512-512-256-256,True,adamw,balanced_sampling,80,256,42,0.96839,0.800817,0.798371,0.803279,0.884643,0.926087,0.876831,0.429288,0.927387,37,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\05_sampling_balanced,2026-04-12 19:12:51,2026-04-12 19:21:55,544.08,
6,06_optimizer_adamw,backbone_C_deep,256-512-512-256-256,True,adamw,optimizer,80,256,42,0.96839,0.800817,0.798371,0.803279,0.884643,0.926087,0.876831,0.429288,0.927387,37,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\06_optimizer_adamw,2026-04-12 19:21:55,2026-04-12 19:31:05,550.63,
7,07_optimizer_adam,backbone_C_deep,256-512-512-256-256,True,adam,optimizer,80,256,42,0.968528,0.799691,0.790733,0.808854,0.885285,0.926277,0.874002,0.424199,0.927387,37,True,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\07_optimizer_adam,2026-04-12 19:31:05,2026-04-12 19:50:35,1169.78,
8,08_optimizer_sgd,backbone_C_deep,256-512-512-256-256,True,sgd,optimizer,80,256,42,0.956539,0.761975,0.785642,0.739693,0.8418,0.908652,0.861211,0.537056,0.945477,80,False,success,D:\Gradua_pro_code-spring\Vehic_Insur_Claim\MLP\outputs\ablation_study\ablation_20260412_183906\08_optimizer_sgd,2026-04-12 19:50:35,2026-04-12 20:25:18,2082.89,
