experimentIndex,experimentName,experimentKey,experimentGroup,description,numRuns,aucMean,aucStd,f1Mean,f1Std,recallMean,recallStd,precisionMean,precisionStd,prAucMean,prAucStd,accuracyMean,accuracyStd
1,01_shared_baseline_baseline_original,baseline_original,shared_baseline,"Original residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",3,0.970977,0.001569,0.803801,0.003908,0.855906,0.003339,0.757693,0.006093,0.892891,0.005295,0.922234,0.001801
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,3,0.970589,0.001772,0.803732,0.005884,0.866768,0.009611,0.749258,0.003662,0.889653,0.003459,0.921223,0.002103
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",3,0.971169,0.001243,0.804858,0.004457,0.851833,0.012759,0.763008,0.012891,0.894098,0.005527,0.923118,0.002417
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,3,0.970668,0.001472,0.802128,0.004416,0.854548,0.025486,0.756267,0.012232,0.890687,0.005319,0.921571,0.000289
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,3,0.970847,0.001772,0.804642,0.005082,0.860489,0.021172,0.755904,0.008914,0.890399,0.003882,0.922265,0.001043
