experimentIndex,experimentName,experimentKey,experimentGroup,description,numRuns,aucMean,aucStd,prAucMean,prAucStd,f1Mean,f1Std,recallMean,recallStd,precisionMean,precisionStd,accuracyMean,accuracyStd,balancedAccuracyMean,balancedAccuracyStd,lossMean,lossStd,epochsCompletedMean,epochsCompletedStd,durationSecondsMean,durationSecondsStd,secondsPerEpochMean,secondsPerEpochStd,stoppedEarlyRate
1,01_components_baseline_original,components_baseline_original,components,"Component-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",3,0.966503,0.001818,0.871032,0.001478,0.795951,0.004363,0.84148,0.018004,0.755451,0.014252,0.919707,0.002293,0.889537,0.006427,0.367612,0.010854,10.0,0.0,117.9,10.520128,11.79,1.052013,0.0
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,3,0.96438,0.001368,0.866077,0.000326,0.788278,0.003929,0.860828,0.015547,0.727135,0.004394,0.913958,0.000474,0.893468,0.006287,0.387783,0.010531,10.0,0.0,105.316667,3.363247,10.531667,0.336325,0.0
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",3,0.966115,0.001462,0.871894,0.00426,0.792249,0.006722,0.836728,0.029839,0.753144,0.020987,0.918349,0.003186,0.88687,0.010847,0.370659,0.006303,10.0,0.0,103.326667,5.182763,10.332667,0.518276,0.0
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,3,0.965523,0.00156,0.867733,0.002127,0.789963,0.008253,0.864562,0.011843,0.727307,0.011192,0.914432,0.003649,0.895199,0.005813,0.374103,0.0093,10.0,0.0,101.68,7.922809,10.168,0.792281,0.0
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,3,0.966529,0.00179,0.870628,0.00285,0.792668,0.006647,0.850136,0.030356,0.743415,0.022546,0.917243,0.003571,0.891362,0.010856,0.367213,0.013136,10.0,0.0,117.193333,14.402605,11.719333,1.440261,0.0
