experimentIndex,experimentName,experimentKey,experimentGroup,description,numRuns,aucMean,aucStd,f1Mean,f1Std,recallMean,recallStd,precisionMean,precisionStd,prAucMean,prAucStd,accuracyMean,accuracyStd
1,01_shared_baseline_baseline_original,baseline_original,shared_baseline,"Original residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",1,0.969177,0.0,0.8035,0.0,0.818228,0.0,0.789293,0.0,0.887365,0.0,0.925519,0.0
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,1,0.969639,0.0,0.805263,0.0,0.856925,0.0,0.759477,0.0,0.891596,0.0,0.922866,0.0
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",1,0.968894,0.0,0.79775,0.0,0.830448,0.0,0.767529,0.0,0.887474,0.0,0.921634,0.0
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,1,0.9695,0.0,0.799614,0.0,0.844196,0.0,0.759505,0.0,0.892237,0.0,0.921255,0.0
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,1,0.968163,0.0,0.798046,0.0,0.831976,0.0,0.766776,0.0,0.884753,0.0,0.921634,0.0
