experimentIndex,experimentName,experimentKey,experimentGroup,description,numRuns,aucMean,aucStd,prAucMean,prAucStd,f1Mean,f1Std,recallMean,recallStd,precisionMean,precisionStd,accuracyMean,accuracyStd,balancedAccuracyMean,balancedAccuracyStd,lossMean,lossStd,epochsCompletedMean,epochsCompletedStd,durationSecondsMean,durationSecondsStd,secondsPerEpochMean,secondsPerEpochStd,stoppedEarlyRate
1,01_components_baseline_original,components_baseline_original,components,"Component-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",3,0.969438,0.002102,0.883531,0.002651,0.800364,0.006752,0.8722,0.024793,0.7401,0.020378,0.919012,0.003842,0.900958,0.008716,0.349518,0.013317,40.0,0.0,323.536667,1.815636,8.088417,0.045391,0.0
2,02_components_no_residual,component_no_residual,components,Replace residual blocks with plain feed-forward blocks while keeping the same hidden dimensions.,3,0.967833,0.002139,0.878112,0.002441,0.794062,0.005948,0.864392,0.035846,0.735841,0.031167,0.916517,0.005175,0.896414,0.01131,0.364006,0.014858,40.0,0.0,297.443333,3.968782,7.436083,0.09922,0.0
3,03_components_no_norm,component_no_norm,components,"Remove LayerNorm from the input projection, backbone blocks, and classification head.",3,0.969692,0.001904,0.888987,0.003473,0.800318,0.006386,0.857434,0.02839,0.750971,0.015786,0.920402,0.002315,0.896117,0.010767,0.350728,0.010411,40.0,0.0,270.6,1.20528,6.765,0.030132,0.0
4,04_components_relu_activation,component_relu_activation,components,Keep the architecture unchanged but replace GELU with ReLU.,3,0.968465,0.002195,0.879848,0.003499,0.800417,0.011049,0.854379,0.019247,0.753632,0.028257,0.920623,0.006443,0.895075,0.006012,0.355157,0.013338,40.0,0.0,285.206667,18.385903,7.130167,0.459648,0.0
5,05_components_linear_head,component_linear_head,components,Replace the two-layer MLP classification head with a single linear layer.,3,0.969458,0.001958,0.883978,0.002165,0.799304,0.005498,0.86575,0.02319,0.742738,0.012892,0.919107,0.002132,0.898529,0.008804,0.349694,0.013424,40.0,0.0,280.226667,4.465986,7.005667,0.11165,0.0
