experimentIndex,experimentName,experimentKey,experimentGroup,description,numRuns,aucMean,aucStd,prAucMean,prAucStd,f1Mean,f1Std,recallMean,recallStd,precisionMean,precisionStd,accuracyMean,accuracyStd,balancedAccuracyMean,balancedAccuracyStd,lossMean,lossStd,epochsCompletedMean,epochsCompletedStd,durationSecondsMean,durationSecondsStd,secondsPerEpochMean,secondsPerEpochStd,stoppedEarlyRate
1,01_imbalance_baseline_original,imbalance_baseline_original,imbalance,"Imbalance-ablation baseline: residual MLP with LayerNorm, GELU, MLP head, weighted BCE, and automatic threshold search.",3,0.969976,0.001585,0.887613,0.003901,0.80236,0.003845,0.851833,0.016895,0.758511,0.006581,0.921918,0.000342,0.894889,0.006724,0.348549,0.010543,50.0,0.0,599.716667,6.501649,11.994333,0.130033,0.0
2,02_imbalance_weighted_fixed_threshold,imbalance_weighted_fixed_threshold,imbalance,Keep weighted BCE but disable automatic threshold search and use a fixed threshold of 0.5.,3,0.969976,0.001585,0.887613,0.003901,0.777602,0.001448,0.92074,0.009956,0.673026,0.003128,0.901987,0.000239,0.909219,0.003694,0.348549,0.010543,50.0,0.0,573.35,8.374897,11.467,0.167498,0.0
3,03_imbalance_unweighted_auto_threshold,imbalance_unweighted_auto_threshold,imbalance,Disable positive-class weighting but keep automatic threshold search.,3,0.970424,0.001708,0.891641,0.003534,0.801752,0.00579,0.855906,0.007603,0.754077,0.007343,0.921223,0.002424,0.896032,0.003945,0.168696,0.004211,50.0,0.0,563.37,17.236215,11.2674,0.344724,0.0
4,04_imbalance_unweighted_fixed_threshold,imbalance_unweighted_fixed_threshold,imbalance,Disable positive-class weighting and use a fixed threshold of 0.5.,3,0.970424,0.001708,0.891641,0.003534,0.804924,0.006731,0.790054,0.010733,0.820405,0.004099,0.92874,0.002142,0.875254,0.005384,0.168696,0.004211,50.0,0.0,424.826667,193.369053,8.496533,3.867381,0.0
